threshold;sel_n;sel_hit_rate;sel_median_car;sel_avg_car;sel_std_car;sel_min_car;sel_q1_car;sel_q3_car;sel_max_car;sel_pctile_zero;sel_avg_size_usd;rest_n;rest_hit_rate;rest_median_car;rest_avg_car;rest_std_car;rest_min_car;rest_q1_car;rest_q3_car;rest_max_car;rest_pctile_zero;rest_avg_size_usd
0,69;528;48,67;-0,319;-3,023;23,869;-123,623;-12,42;8,019;83,81;51,33;15063;2278;43,63;-2,274;-3,962;23,39;-193,367;-14,399;7,809;120,258;56,37;6369
0,7;495;49,09;-0,247;-2,916;23,748;-123,623;-12,25;8,169;83,81;50,91;15772;2311;43,62;-2,28;-3,972;23,422;-193,367;-14,389;7,809;120,258;56,38;6342
0,71;473;49,47;-0,143;-2,833;24,021;-123,623;-12,271;8,468;83,81;50,53;16362;2333;43,59;-2,331;-3,979;23,368;-193,367;-14,38;7,809;120,258;56,41;6311
0,72;437;50,34;0,035;-2,336;22,907;-113,362;-12,103;9,018;83,81;49,66;14593;2369;43,52;-2,402;-4,053;23,579;-193,367;-14,411;7,757;120,258;56,48;6790
0,73;412;51,21;0,269;-1,904;22,535;-113,362;-11,588;9,046;83,81;48,79;13865;2394;43,44;-2,382;-4,109;23,628;-193,367;-14,5;7,69;120,258;56,56;6997
0,74;380;51,32;0,269;-1,636;22,425;-113,362;-11,201;9,177;83,81;48,68;11958;2426;43,53;-2,347;-4,122;23,627;-193,367;-14,529;7,69;120,258;56,47;7386
0,75;347;51,87;0,336;-1,421;21,584;-113,362;-10,55;9,271;83,81;48,13;12683;2459;43,55;-2,331;-4,119;23,72;-193,367;-14,586;7,684;120,258;56,45;7345
0,76;321;52,02;0,438;-1,061;21,381;-113,362;-10,333;9,932;83,81;47,98;13234;2485;43,62;-2,28;-4,138;23,719;-193,367;-14,588;7,607;120,258;56,38;7330
0,77;295;51,19;0,075;-1,23;20,704;-113,362;-10,55;9,271;83,81;48,81;13928;2511;43,81;-2,234;-4,086;23,771;-193,367;-14,576;7,684;120,258;56,19;7310
0,78;268;51,49;0,321;-1,32;21,401;-113,362;-10,834;9,473;83,81;48,51;10905;2538;43,85;-2,179;-4,046;23,678;-193,367;-14,408;7,69;120,258;56,15;7699
0,79;238;51,68;0,507;-0,988;21,511;-113,362;-11,866;9,828;83,81;48,32;11977;2568;43,93;-2,155;-4,045;23,641;-193,367;-14,385;7,624;120,258;56,07;7637
0,8;215;51,63;0,438;-0,311;20,57;-99,459;-11,677;9,759;83,81;48,37;11938;2591;44;-2,133;-4,074;23,686;-193,367;-14,389;7,684;120,258;56;7679
0,81;186;50,54;0,352;-0,8;21,058;-99,459;-12,091;9,408;83,81;49,46;12750;2620;44,16;-2,103;-3,997;23,632;-193,367;-14,338;7,744;120,258;55,84;7668
0,82;162;51,85;0,729;-0,058;20,033;-80,37;-11,266;9,408;83,81;48,15;12472;2644;44,14;-2,103;-4,014;23,659;-193,367;-14,338;7,762;120,258;55,86;7732
0,83;137;50,36;0,075;-0,429;20,336;-80,37;-12,23;9,083;83,81;49,64;13549;2669;44,29;-2,044;-3,958;23,621;-193,367;-14,324;7,777;120,258;55,71;7721
0,84;118;53,39;0,833;-0,661;19,721;-80,37;-13,589;9,408;51,299;46,61;14060;2688;44,2;-2,073;-3,923;23,625;-193,367;-14,196;7,762;120,258;55,8;7740
0,85;101;51,49;0,63;-0,798;20,221;-80,37;-12,103;9,517;51,299;48,51;15625;2705;44,33;-2,043;-3,897;23,589;-193,367;-14,189;7,777;120,258;55,67;7721
0,86;87;56,32;1,065;0,979;19,749;-80,37;-9,683;10,185;51,299;43,68;17771;2719;44,21;-2,082;-3,938;23,577;-193,367;-14,292;7,767;120,258;55,79;7693
0,87;74;56,76;1,021;1,832;17,635;-46,839;-8,5;10,416;45,779;43,24;19447;2732;44,25;-2,073;-3,938;23,603;-193,367;-14,326;7,785;120,258;55,75;7695
0,88;61;52,46;0,63;0,811;17,26;-41,072;-12,055;6,28;45,779;47,54;16378;2745;44,41;-2,028;-3,888;23,593;-193,367;-14,219;7,837;120,258;55,59;7819
0,89;52;51,92;0,352;0,974;17,846;-41,072;-9,8;7,21;45,779;48,08;18713;2754;44,44;-2,024;-3,875;23,568;-193,367;-14,188;7,83;120,258;55,56;7803
0,9;42;50;-0,763;-0,32;19,023;-41,072;-14,367;5,001;45,779;50;10382;2764;44,5;-1,978;-3,838;23,541;-193,367;-14,121;7,873;120,258;55,5;7969
